"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45539372918,9583;2;1;1;5;;;;;;;;;"04/09/2024 08:57:00";"";""
45539373000;2;1;2;1;;;;;;;;;"04/09/2024 08:57:07";"";""
45539373000;2;1;2;2;;;;;;;;;"04/09/2024 08:57:07";"";""
45539373000;2;1;1;25;;;;;;;;;"04/09/2024 08:57:07";"";""
45539373000,0116;2;0;1;5;;;;;;;;;"04/09/2024 08:57:07";"";""
45539373011,5509;2;0;2;1;;;;;;;;;"04/09/2024 08:57:08";"";""
45539373011,5509;2;0;2;2;;;;;;;;;"04/09/2024 08:57:08";"";""
45539373011,5509;2;0;1;25;;;;;;;;;"04/09/2024 08:57:08";"";""
45540086937,581;2;6;1;5;;;;;;;;;"05/09/2024 02:05:11";"";""
45540086937,581;2;6;1;25;;;;;;;;;"05/09/2024 02:05:11";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
