"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45491575775,3472;2;1;1;5;;;;;;;;;"18/07/2024 13:49:07";"";""
45491575807,7546;2;3;1;5;;;;;;;;;"18/07/2024 13:49:10";"";""
45491575856,3542;2;1;2;1;;;;;;;;;"18/07/2024 13:49:14";"";""
45491575856,3542;2;1;2;2;;;;;;;;;"18/07/2024 13:49:14";"";""
45491575856,3542;2;1;1;25;;;;;;;;;"18/07/2024 13:49:14";"";""
45491575856,3542;2;2;1;5;;;;;;;;;"18/07/2024 13:49:14";"";""
45491575867,9282;2;0;2;1;;;;;;;;;"18/07/2024 13:49:15";"";""
45491575867,9282;2;0;2;2;;;;;;;;;"18/07/2024 13:49:15";"";""
45491575867,9282;2;0;1;25;;;;;;;;;"18/07/2024 13:49:15";"";""
45492366837,6852;2;1;1;25;;;;;;;;;"19/07/2024 08:48:15";"";""
45492366849,2593;2;0;1;25;;;;;;;;;"19/07/2024 08:48:16";"";""
"$RT_COUNT$";12;;;;;;;;;;;;;;;
