"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45428346077,8819;2;1;1;5;;;;;;;;;"16/05/2024 08:18:21";"";""
45428346140,2546;2;3;1;5;;;;;;;;;"16/05/2024 08:18:27";"";""
45428346158,8773;2;1;2;1;;;;;;;;;"16/05/2024 08:18:28";"";""
45428346158,8773;2;1;2;2;;;;;;;;;"16/05/2024 08:18:28";"";""
45428346158,8773;2;1;1;25;;;;;;;;;"16/05/2024 08:18:28";"";""
45428346158,8773;2;2;1;5;;;;;;;;;"16/05/2024 08:18:28";"";""
45428346170,4745;2;0;2;1;;;;;;;;;"16/05/2024 08:18:29";"";""
45428346170,4745;2;0;2;2;;;;;;;;;"16/05/2024 08:18:29";"";""
45428346170,4745;2;0;1;25;;;;;;;;;"16/05/2024 08:18:29";"";""
45428346174,0509;2;6;1;25;;;;;;;;;"16/05/2024 08:18:29";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
