"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45547130829,0972;2;1;1;5;;;;;;;;;"12/09/2024 03:08:24";"";""
45547130910,0694;2;1;2;1;;;;;;;;;"12/09/2024 03:08:31";"";""
45547130910,0694;2;1;2;2;;;;;;;;;"12/09/2024 03:08:31";"";""
45547130910,0694;2;1;1;25;;;;;;;;;"12/09/2024 03:08:31";"";""
45547130910,0694;2;0;1;5;;;;;;;;;"12/09/2024 03:08:31";"";""
45547130921,6204;2;0;2;1;;;;;;;;;"12/09/2024 03:08:32";"";""
45547130921,6204;2;0;2;2;;;;;;;;;"12/09/2024 03:08:32";"";""
45547130921,6204;2;0;1;25;;;;;;;;;"12/09/2024 03:08:32";"";""
45547862992,6505;2;6;1;5;;;;;;;;;"12/09/2024 20:42:43";"";""
45547862992,6505;2;6;1;25;;;;;;;;;"12/09/2024 20:42:43";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
