"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45499250237,8588;2;1;2;19;;;;;;;;;"26/07/2024 06:00:21";"";""
45499250261,0301;2;1;2;1;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250261,0301;2;1;2;2;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250261,0301;2;1;2;31;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250261,0301;2;1;1;25;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250261,0301;2;1;1;15;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250261,0301;2;1;1;16;;;;;;;;;"26/07/2024 06:00:23";"";""
45499250295,7523;2;1;1;5;;;;;;;;;"26/07/2024 06:00:26";"";""
45499250399,9653;2;0;2;31;;;;;;;;;"26/07/2024 06:00:35";"";""
45499250399,9653;2;0;1;15;;;;;;;;;"26/07/2024 06:00:35";"";""
45499250411,4815;2;0;2;1;;;;;;;;;"26/07/2024 06:00:36";"";""
45499250411,4815;2;0;2;2;;;;;;;;;"26/07/2024 06:00:36";"";""
45499250411,4815;2;0;2;19;;;;;;;;;"26/07/2024 06:00:36";"";""
45499250411,4815;2;0;1;25;;;;;;;;;"26/07/2024 06:00:36";"";""
45499250411,4815;2;0;1;5;;;;;;;;;"26/07/2024 06:00:36";"";""
45499250411,4815;2;0;1;16;;;;;;;;;"26/07/2024 06:00:36";"";""
"$RT_COUNT$";17;;;;;;;;;;;;;;;
