"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45422547862,5463;2;1;1;5;;;;;;;;;"10/05/2024 13:08:55";"";""
45422547943,5532;2;1;2;1;;;;;;;;;"10/05/2024 13:09:02";"";""
45422547943,5532;2;1;2;2;;;;;;;;;"10/05/2024 13:09:02";"";""
45422547943,5532;2;1;1;25;;;;;;;;;"10/05/2024 13:09:02";"";""
45422547943,5532;2;0;1;5;;;;;;;;;"10/05/2024 13:09:02";"";""
45422547955,1157;2;0;2;1;;;;;;;;;"10/05/2024 13:09:03";"";""
45422547955,1157;2;0;2;2;;;;;;;;;"10/05/2024 13:09:03";"";""
45422547955,1157;2;0;1;25;;;;;;;;;"10/05/2024 13:09:03";"";""
45422548087,1412;2;6;1;5;;;;;;;;;"10/05/2024 13:09:15";"";""
45422548087,1412;2;6;1;25;;;;;;;;;"10/05/2024 13:09:15";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
