"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45544864898,7037;2;1;1;5;;;;;;;;;"09/09/2024 20:45:27";"";""
45544864921,8634;2;1;2;1;;;;;;;;;"09/09/2024 20:45:29";"";""
45544864921,8634;2;1;2;2;;;;;;;;;"09/09/2024 20:45:29";"";""
45544864921,8634;2;1;1;25;;;;;;;;;"09/09/2024 20:45:29";"";""
45544864921,8634;2;0;1;5;;;;;;;;;"09/09/2024 20:45:29";"";""
45544864933,4259;2;0;2;1;;;;;;;;;"09/09/2024 20:45:30";"";""
45544864933,4259;2;0;2;2;;;;;;;;;"09/09/2024 20:45:30";"";""
45544864933,4259;2;0;1;25;;;;;;;;;"09/09/2024 20:45:30";"";""
45545617564,2593;2;1;1;25;;;;;;;;;"10/09/2024 14:49:18";"";""
45545617575,7986;2;0;1;25;;;;;;;;;"10/09/2024 14:49:19";"";""
45545618673,5648;2;6;1;5;;;;;;;;;"10/09/2024 14:50:53";"";""
45545618673,5648;2;6;1;25;;;;;;;;;"10/09/2024 14:50:53";"";""
45545856213,125;2;1;1;5;;;;;;;;;"10/09/2024 20:32:57";"";""
45545856294,1088;2;1;2;1;;;;;;;;;"10/09/2024 20:33:04";"";""
45545856294,1088;2;1;2;2;;;;;;;;;"10/09/2024 20:33:04";"";""
45545856294,1088;2;1;1;25;;;;;;;;;"10/09/2024 20:33:04";"";""
45545856294,1204;2;0;1;5;;;;;;;;;"10/09/2024 20:33:04";"";""
45545856305,706;2;0;2;1;;;;;;;;;"10/09/2024 20:33:05";"";""
45545856305,706;2;0;2;2;;;;;;;;;"10/09/2024 20:33:05";"";""
45545856305,706;2;0;1;25;;;;;;;;;"10/09/2024 20:33:05";"";""
45546636482,6157;2;1;1;25;;;;;;;;;"11/09/2024 15:16:32";"";""
45546636494,1898;2;0;1;25;;;;;;;;;"11/09/2024 15:16:33";"";""
45546637002,8356;2;6;1;5;;;;;;;;;"11/09/2024 15:17:17";"";""
45546637002,8356;2;6;1;25;;;;;;;;;"11/09/2024 15:17:17";"";""
"$RT_COUNT$";25;;;;;;;;;;;;;;;
