"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45524299531,5625;2;1;1;5;;;;;;;;;"20/08/2024 07:11:20";"";""
45524299612,6157;2;1;2;1;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;1;2;2;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;1;1;25;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;0;1;5;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299624,132;2;0;2;1;;;;;;;;;"20/08/2024 07:11:28";"";""
45524299624,132;2;0;2;2;;;;;;;;;"20/08/2024 07:11:28";"";""
45524299624,132;2;0;1;25;;;;;;;;;"20/08/2024 07:11:28";"";""
45525064758,6574;2;6;1;5;;;;;;;;;"21/08/2024 01:33:15";"";""
45525064758,6574;2;6;1;25;;;;;;;;;"21/08/2024 01:33:15";"";""
45525298553,2292;2;1;1;5;;;;;;;;;"21/08/2024 07:09:55";"";""
45525298580,2546;2;3;1;5;;;;;;;;;"21/08/2024 07:09:57";"";""
45525298634,2593;2;1;2;1;;;;;;;;;"21/08/2024 07:10:02";"";""
45525298634,2593;2;1;2;2;;;;;;;;;"21/08/2024 07:10:02";"";""
45525298634,2593;2;1;1;25;;;;;;;;;"21/08/2024 07:10:02";"";""
45525298634,2593;2;2;1;5;;;;;;;;;"21/08/2024 07:10:02";"";""
45525298645,8218;2;0;2;1;;;;;;;;;"21/08/2024 07:10:03";"";""
45525298645,8218;2;0;2;2;;;;;;;;;"21/08/2024 07:10:03";"";""
45525298645,8218;2;0;1;25;;;;;;;;;"21/08/2024 07:10:03";"";""
45526111866,9792;2;1;1;5;;;;;;;;;"22/08/2024 02:41:05";"";""
45526111885,1389;2;6;1;25;;;;;;;;;"22/08/2024 02:41:07";"";""
45526111885,1389;2;3;1;5;;;;;;;;;"22/08/2024 02:41:07";"";""
45526111947,963;2;1;2;1;;;;;;;;;"22/08/2024 02:41:12";"";""
45526111947,963;2;1;2;2;;;;;;;;;"22/08/2024 02:41:12";"";""
45526111947,963;2;1;1;25;;;;;;;;;"22/08/2024 02:41:12";"";""
45526111947,963;2;2;1;5;;;;;;;;;"22/08/2024 02:41:12";"";""
45526111959,5602;2;0;2;1;;;;;;;;;"22/08/2024 02:41:13";"";""
45526111959,5602;2;0;2;2;;;;;;;;;"22/08/2024 02:41:13";"";""
45526111959,5602;2;0;1;25;;;;;;;;;"22/08/2024 02:41:13";"";""
"$RT_COUNT$";30;;;;;;;;;;;;;;;
