"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45530637666,6898;2;1;1;5;;;;;;;;;"26/08/2024 15:18:14";"";""
45530637747,7199;2;1;2;1;;;;;;;;;"26/08/2024 15:18:21";"";""
45530637747,7199;2;1;2;2;;;;;;;;;"26/08/2024 15:18:21";"";""
45530637747,7199;2;1;1;25;;;;;;;;;"26/08/2024 15:18:21";"";""
45530637747,7199;2;0;1;5;;;;;;;;;"26/08/2024 15:18:21";"";""
45530637759,2708;2;0;2;1;;;;;;;;;"26/08/2024 15:18:22";"";""
45530637759,2708;2;0;2;2;;;;;;;;;"26/08/2024 15:18:22";"";""
45530637759,2708;2;0;1;25;;;;;;;;;"26/08/2024 15:18:22";"";""
45531376115,4861;2;6;1;5;;;;;;;;;"27/08/2024 09:01:36";"";""
45531376115,4977;2;6;1;25;;;;;;;;;"27/08/2024 09:01:36";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
