"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44977268910,9144;2;1;1;5;;;;;;;;;"20/02/2023 06:27:14";"";""
44977268991,9213;2;1;2;1;;;;;;;;;"20/02/2023 06:27:21";"";""
44977268991,9213;2;1;2;2;;;;;;;;;"20/02/2023 06:27:21";"";""
44977268991,9213;2;1;1;25;;;;;;;;;"20/02/2023 06:27:21";"";""
44977268991,9213;2;0;1;5;;;;;;;;;"20/02/2023 06:27:21";"";""
44977269003,4954;2;0;2;1;;;;;;;;;"20/02/2023 06:27:22";"";""
44977269003,4954;2;0;2;2;;;;;;;;;"20/02/2023 06:27:22";"";""
44977269003,4954;2;0;1;25;;;;;;;;;"20/02/2023 06:27:22";"";""
44978091601,6435;2;6;1;5;;;;;;;;;"21/02/2023 02:11:54";"";""
44978091601,6435;2;6;1;25;;;;;;;;;"21/02/2023 02:11:54";"";""
44978224640,5787;2;1;1;5;;;;;;;;;"21/02/2023 05:23:29";"";""
44978224672,9051;2;3;1;5;;;;;;;;;"21/02/2023 05:23:32";"";""
44978224721,5741;2;1;2;1;;;;;;;;;"21/02/2023 05:23:36";"";""
44978224721,5741;2;1;2;2;;;;;;;;;"21/02/2023 05:23:36";"";""
44978224721,5741;2;1;1;25;;;;;;;;;"21/02/2023 05:23:36";"";""
44978224721,5741;2;2;1;5;;;;;;;;;"21/02/2023 05:23:36";"";""
44978224733,1597;2;0;2;1;;;;;;;;;"21/02/2023 05:23:37";"";""
44978224733,1597;2;0;2;2;;;;;;;;;"21/02/2023 05:23:37";"";""
44978224733,1597;2;0;1;25;;;;;;;;;"21/02/2023 05:23:37";"";""
44978224796,3194;2;6;1;25;;;;;;;;;"21/02/2023 05:23:42";"";""
"$RT_COUNT$";21;;;;;;;;;;;;;;;
