"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45533689065,5324;2;1;1;5;;;;;;;;;"29/08/2024 16:32:15";"";""
45533689146,5741;2;1;2;1;;;;;;;;;"29/08/2024 16:32:22";"";""
45533689146,5741;2;1;2;2;;;;;;;;;"29/08/2024 16:32:22";"";""
45533689146,5741;2;1;1;25;;;;;;;;;"29/08/2024 16:32:22";"";""
45533689158,125;2;0;1;5;;;;;;;;;"29/08/2024 16:32:23";"";""
45533689169,7106;2;0;2;1;;;;;;;;;"29/08/2024 16:32:24";"";""
45533689169,7106;2;0;2;2;;;;;;;;;"29/08/2024 16:32:24";"";""
45533689169,7222;2;0;1;25;;;;;;;;;"29/08/2024 16:32:24";"";""
45534462656,2731;2;1;1;25;;;;;;;;;"30/08/2024 11:06:14";"";""
45534462667,8472;2;0;1;25;;;;;;;;;"30/08/2024 11:06:15";"";""
45534464024,4792;2;6;1;5;;;;;;;;;"30/08/2024 11:08:12";"";""
45534464024,4792;2;6;1;25;;;;;;;;;"30/08/2024 11:08:12";"";""
45534691686,8403;2;1;1;5;;;;;;;;;"30/08/2024 16:36:02";"";""
45534691767,8704;2;1;2;1;;;;;;;;;"30/08/2024 16:36:09";"";""
45534691767,8704;2;1;2;2;;;;;;;;;"30/08/2024 16:36:09";"";""
45534691767,8704;2;1;1;25;;;;;;;;;"30/08/2024 16:36:09";"";""
45534691767,8704;2;0;1;5;;;;;;;;;"30/08/2024 16:36:09";"";""
45534691779,4097;2;0;2;1;;;;;;;;;"30/08/2024 16:36:10";"";""
45534691779,4097;2;0;2;2;;;;;;;;;"30/08/2024 16:36:10";"";""
45534691779,4097;2;0;1;25;;;;;;;;;"30/08/2024 16:36:10";"";""
45534691925,7523;2;6;1;5;;;;;;;;;"30/08/2024 16:36:22";"";""
45534691925,7523;2;6;1;25;;;;;;;;;"30/08/2024 16:36:22";"";""
45535684690,6829;2;1;1;5;;;;;;;;;"31/08/2024 16:25:57";"";""
45535684771,6782;2;1;2;1;;;;;;;;;"31/08/2024 16:26:04";"";""
45535684771,6782;2;1;2;2;;;;;;;;;"31/08/2024 16:26:04";"";""
45535684771,6782;2;1;1;25;;;;;;;;;"31/08/2024 16:26:04";"";""
45535684771,6782;2;0;1;5;;;;;;;;;"31/08/2024 16:26:04";"";""
45535684783,2407;2;0;2;1;;;;;;;;;"31/08/2024 16:26:05";"";""
45535684783,2407;2;0;2;2;;;;;;;;;"31/08/2024 16:26:05";"";""
45535684783,2407;2;0;1;25;;;;;;;;;"31/08/2024 16:26:05";"";""
45536445730,2315;2;6;1;5;;;;;;;;;"01/09/2024 10:41:51";"";""
45536445730,2315;2;6;1;25;;;;;;;;;"01/09/2024 10:41:51";"";""
"$RT_COUNT$";33;;;;;;;;;;;;;;;
