"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44966599054,0278;2;1;1;5;;;;;;;;;"09/02/2023 14:22:38";"";""
44966599135,0463;2;1;2;1;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;1;2;2;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;1;1;25;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;0;1;5;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599146,6319;2;0;2;1;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599146,6319;2;0;2;2;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599146,6319;2;0;1;25;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599236,1921;2;6;1;5;;;;;;;;;"09/02/2023 14:22:54";"";""
44966599236,1921;2;6;1;25;;;;;;;;;"09/02/2023 14:22:54";"";""
44967599712,0139;2;1;1;5;;;;;;;;;"10/02/2023 14:23:35";"";""
44967599749,0394;2;3;1;5;;;;;;;;;"10/02/2023 14:23:38";"";""
44967599793,0324;2;1;2;1;;;;;;;;;"10/02/2023 14:23:42";"";""
44967599793,0324;2;1;2;2;;;;;;;;;"10/02/2023 14:23:42";"";""
44967599793,0324;2;1;1;25;;;;;;;;;"10/02/2023 14:23:42";"";""
44967599793,0324;2;2;1;5;;;;;;;;;"10/02/2023 14:23:42";"";""
44967599816,1806;2;0;2;1;;;;;;;;;"10/02/2023 14:23:44";"";""
44967599816,1806;2;0;2;2;;;;;;;;;"10/02/2023 14:23:44";"";""
44967599816,1806;2;0;1;25;;;;;;;;;"10/02/2023 14:23:44";"";""
44968379777,5;2;1;2;19;;;;;;;;;"11/02/2023 09:06:53";"";""
44968379789,0741;2;1;1;16;;;;;;;;;"11/02/2023 09:06:54";"";""
44968379800,6597;2;1;2;31;;;;;;;;;"11/02/2023 09:06:55";"";""
44968379800,6597;2;1;1;25;;;;;;;;;"11/02/2023 09:06:55";"";""
44968379800,6597;2;1;1;15;;;;;;;;;"11/02/2023 09:06:55";"";""
44968380055,2431;2;1;1;18;;;;;;;;;"11/02/2023 09:07:17";"";""
44968381328,4375;2;0;2;19;;;;;;;;;"11/02/2023 09:09:07";"";""
44968381328,4375;2;0;2;31;;;;;;;;;"11/02/2023 09:09:07";"";""
44968381328,4375;2;0;1;25;;;;;;;;;"11/02/2023 09:09:07";"";""
44968381328,4375;2;0;1;15;;;;;;;;;"11/02/2023 09:09:07";"";""
44968381328,4375;2;0;1;16;;;;;;;;;"11/02/2023 09:09:07";"";""
44968381571,5046;2;0;1;18;;;;;;;;;"11/02/2023 09:09:28";"";""
44968384592,3958;2;1;2;19;;;;;;;;;"11/02/2023 09:13:49";"";""
44968384603,9468;2;1;2;31;;;;;;;;;"11/02/2023 09:13:50";"";""
44968384603,9583;2;1;1;25;;;;;;;;;"11/02/2023 09:13:50";"";""
44968384603,9583;2;1;1;16;;;;;;;;;"11/02/2023 09:13:50";"";""
44968384615,5208;2;1;1;15;;;;;;;;;"11/02/2023 09:13:51";"";""
44968384835,4167;2;1;1;18;;;;;;;;;"11/02/2023 09:14:10";"";""
44968385344,6644;2;0;2;19;;;;;;;;;"11/02/2023 09:14:54";"";""
44968385344,6644;2;0;2;31;;;;;;;;;"11/02/2023 09:14:54";"";""
44968385344,6644;2;0;1;25;;;;;;;;;"11/02/2023 09:14:54";"";""
44968385344,6644;2;0;1;15;;;;;;;;;"11/02/2023 09:14:54";"";""
44968385344,6644;2;0;1;16;;;;;;;;;"11/02/2023 09:14:54";"";""
44968385587,7431;2;0;1;18;;;;;;;;;"11/02/2023 09:15:15";"";""
44968389094,7338;2;1;2;19;;;;;;;;;"11/02/2023 09:20:18";"";""
44968389106,331;2;1;1;16;;;;;;;;;"11/02/2023 09:20:19";"";""
44968389117,882;2;1;2;31;;;;;;;;;"11/02/2023 09:20:20";"";""
44968389117,882;2;1;1;25;;;;;;;;;"11/02/2023 09:20:20";"";""
44968389117,8935;2;1;1;15;;;;;;;;;"11/02/2023 09:20:20";"";""
44968389337,7662;2;1;1;18;;;;;;;;;"11/02/2023 09:20:39";"";""
44968389951,25;2;0;2;31;;;;;;;;;"11/02/2023 09:21:32";"";""
44968389951,25;2;0;1;25;;;;;;;;;"11/02/2023 09:21:32";"";""
44968389951,25;2;0;1;15;;;;;;;;;"11/02/2023 09:21:32";"";""
44968389962,8009;2;0;2;19;;;;;;;;;"11/02/2023 09:21:33";"";""
44968389962,8009;2;0;1;16;;;;;;;;;"11/02/2023 09:21:33";"";""
44968389974,3866;2;0;1;18;;;;;;;;;"11/02/2023 09:21:34";"";""
44968393289,9768;2;6;1;16;;;;;;;;;"11/02/2023 09:26:20";"";""
44968393289,9768;2;6;1;25;;;;;;;;;"11/02/2023 09:26:20";"";""
44968393289,9768;2;6;1;15;;;;;;;;;"11/02/2023 09:26:20";"";""
44968393289,9768;2;6;1;18;;;;;;;;;"11/02/2023 09:26:20";"";""
"$RT_COUNT$";60;;;;;;;;;;;;;;;
