"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45506012087,7778;2;1;1;5;;;;;;;;;"02/08/2024 00:17:24";"";""
45506012168,7616;2;1;2;1;;;;;;;;;"02/08/2024 00:17:31";"";""
45506012168,7616;2;1;2;2;;;;;;;;;"02/08/2024 00:17:31";"";""
45506012168,7616;2;1;1;25;;;;;;;;;"02/08/2024 00:17:31";"";""
45506012168,7616;2;0;1;5;;;;;;;;;"02/08/2024 00:17:31";"";""
45506012180,3472;2;0;2;1;;;;;;;;;"02/08/2024 00:17:32";"";""
45506012180,3472;2;0;2;2;;;;;;;;;"02/08/2024 00:17:32";"";""
45506012180,3472;2;0;1;25;;;;;;;;;"02/08/2024 00:17:32";"";""
45506804608,7384;2;1;2;2;;;;;;;;;"02/08/2024 19:18:38";"";""
45506804701,3657;2;0;2;2;;;;;;;;;"02/08/2024 19:18:46";"";""
45506804837,5695;2;6;1;5;;;;;;;;;"02/08/2024 19:18:58";"";""
45506804837,5695;2;6;1;25;;;;;;;;;"02/08/2024 19:18:58";"";""
"$RT_COUNT$";13;;;;;;;;;;;;;;;
