"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45517550442,3958;2;1;1;5;;;;;;;;;"13/08/2024 13:12:38";"";""
45517550523,4028;2;1;2;1;;;;;;;;;"13/08/2024 13:12:45";"";""
45517550523,4028;2;1;2;2;;;;;;;;;"13/08/2024 13:12:45";"";""
45517550523,4028;2;1;1;25;;;;;;;;;"13/08/2024 13:12:45";"";""
45517550523,4028;2;0;1;5;;;;;;;;;"13/08/2024 13:12:45";"";""
45517550534,9653;2;0;2;1;;;;;;;;;"13/08/2024 13:12:46";"";""
45517550534,9653;2;0;2;2;;;;;;;;;"13/08/2024 13:12:46";"";""
45517550534,9653;2;0;1;25;;;;;;;;;"13/08/2024 13:12:46";"";""
45518298851,9213;2;6;1;5;;;;;;;;;"14/08/2024 07:10:21";"";""
45518298851,9213;2;6;1;25;;;;;;;;;"14/08/2024 07:10:21";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
