"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45481555224,8264;2;1;2;2;;;;;;;;;"08/07/2024 13:19:31";"";""
45481555236,4583;2;0;2;2;;;;;;;;;"08/07/2024 13:19:32";"";""
45481555236,4583;2;1;1;5;;;;;;;;;"08/07/2024 13:19:32";"";""
45481555317,4653;2;1;2;1;;;;;;;;;"08/07/2024 13:19:39";"";""
45481555317,4653;2;1;2;2;;;;;;;;;"08/07/2024 13:19:39";"";""
45481555317,4653;2;1;1;25;;;;;;;;;"08/07/2024 13:19:39";"";""
45481555317,4653;2;0;1;5;;;;;;;;;"08/07/2024 13:19:39";"";""
45481555329,0394;2;0;2;1;;;;;;;;;"08/07/2024 13:19:40";"";""
45481555329,0394;2;0;2;2;;;;;;;;;"08/07/2024 13:19:40";"";""
45481555329,0394;2;0;1;25;;;;;;;;;"08/07/2024 13:19:40";"";""
45481555347,4421;2;6;1;5;;;;;;;;;"08/07/2024 13:19:42";"";""
45481555347,4421;2;6;1;25;;;;;;;;;"08/07/2024 13:19:42";"";""
45482319689,6065;2;1;1;25;;;;;;;;;"09/07/2024 07:40:21";"";""
45482319701,2153;2;0;1;25;;;;;;;;;"09/07/2024 07:40:22";"";""
"$RT_COUNT$";15;;;;;;;;;;;;;;;
