"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44955710894,375;2;1;1;5;;;;;;;;;"29/01/2023 17:03:41";"";""
44955710911,2616;2;3;1;5;;;;;;;;;"29/01/2023 17:03:43";"";""
44955710975,3588;2;1;2;1;;;;;;;;;"29/01/2023 17:03:48";"";""
44955710975,3588;2;1;2;2;;;;;;;;;"29/01/2023 17:03:48";"";""
44955710975,3588;2;1;1;25;;;;;;;;;"29/01/2023 17:03:48";"";""
44955710975,3588;2;2;1;5;;;;;;;;;"29/01/2023 17:03:48";"";""
44955710985,787;2;3;1;25;;;;;;;;;"29/01/2023 17:03:49";"";""
44955710986,956;2;0;2;1;;;;;;;;;"29/01/2023 17:03:49";"";""
44955710986,956;2;0;2;2;;;;;;;;;"29/01/2023 17:03:49";"";""
44955710986,956;2;2;1;25;;;;;;;;;"29/01/2023 17:03:49";"";""
44956714928,3449;2;1;1;5;;;;;;;;;"30/01/2023 17:09:30";"";""
44956714947,7199;2;3;1;5;;;;;;;;;"30/01/2023 17:09:31";"";""
44956715009,375;2;1;2;1;;;;;;;;;"30/01/2023 17:09:37";"";""
44956715009,375;2;1;2;2;;;;;;;;;"30/01/2023 17:09:37";"";""
44956715009,375;2;1;1;25;;;;;;;;;"30/01/2023 17:09:37";"";""
44956715009,375;2;2;1;5;;;;;;;;;"30/01/2023 17:09:37";"";""
44956715019,5602;2;3;1;25;;;;;;;;;"30/01/2023 17:09:38";"";""
44956715020,9722;2;0;2;1;;;;;;;;;"30/01/2023 17:09:38";"";""
44956715020,9722;2;0;2;2;;;;;;;;;"30/01/2023 17:09:38";"";""
44956715020,9722;2;2;1;25;;;;;;;;;"30/01/2023 17:09:38";"";""
44957737111,4236;2;1;1;5;;;;;;;;;"31/01/2023 17:41:26";"";""
44957737138,9583;2;3;1;5;;;;;;;;;"31/01/2023 17:41:29";"";""
44957737192,4653;2;1;2;1;;;;;;;;;"31/01/2023 17:41:33";"";""
44957737192,4653;2;1;2;2;;;;;;;;;"31/01/2023 17:41:33";"";""
44957737192,4653;2;1;1;25;;;;;;;;;"31/01/2023 17:41:33";"";""
44957737192,4653;2;2;1;5;;;;;;;;;"31/01/2023 17:41:33";"";""
44957737204,0046;2;0;2;1;;;;;;;;;"31/01/2023 17:41:34";"";""
44957737204,0046;2;0;2;2;;;;;;;;;"31/01/2023 17:41:34";"";""
44957737204,0046;2;0;1;25;;;;;;;;;"31/01/2023 17:41:34";"";""
44958728730,3472;2;1;1;5;;;;;;;;;"01/02/2023 17:29:22";"";""
44958728795,7292;2;6;1;25;;;;;;;;;"01/02/2023 17:29:28";"";""
44958728795,7292;2;3;1;5;;;;;;;;;"01/02/2023 17:29:28";"";""
44958728811,3657;2;1;2;1;;;;;;;;;"01/02/2023 17:29:29";"";""
44958728811,3657;2;1;2;2;;;;;;;;;"01/02/2023 17:29:29";"";""
44958728811,3657;2;1;1;25;;;;;;;;;"01/02/2023 17:29:29";"";""
44958728811,3657;2;2;1;5;;;;;;;;;"01/02/2023 17:29:29";"";""
44958728822,9398;2;0;2;1;;;;;;;;;"01/02/2023 17:29:30";"";""
44958728822,9398;2;0;2;2;;;;;;;;;"01/02/2023 17:29:30";"";""
44958728822,9398;2;0;1;25;;;;;;;;;"01/02/2023 17:29:30";"";""
44959441430,6134;2;1;2;19;;;;;;;;;"02/02/2023 10:35:40";"";""
44959441442,1875;2;1;1;16;;;;;;;;;"02/02/2023 10:35:41";"";""
44959441500,0463;2;1;2;31;;;;;;;;;"02/02/2023 10:35:46";"";""
44959441500,0463;2;1;1;25;;;;;;;;;"02/02/2023 10:35:46";"";""
44959441500,0463;2;1;1;15;;;;;;;;;"02/02/2023 10:35:46";"";""
44959441662,0833;2;1;1;18;;;;;;;;;"02/02/2023 10:36:00";"";""
44959442182,9398;2;0;2;19;;;;;;;;;"02/02/2023 10:36:45";"";""
44959442182,9398;2;0;2;31;;;;;;;;;"02/02/2023 10:36:45";"";""
44959442182,9398;2;0;1;25;;;;;;;;;"02/02/2023 10:36:45";"";""
44959442182,9398;2;0;1;15;;;;;;;;;"02/02/2023 10:36:45";"";""
44959442194,4792;2;0;1;16;;;;;;;;;"02/02/2023 10:36:46";"";""
44959442437,5463;2;0;1;18;;;;;;;;;"02/02/2023 10:37:07";"";""
44959489791,1343;2;6;1;16;;;;;;;;;"02/02/2023 11:45:18";"";""
44959489791,1343;2;6;1;25;;;;;;;;;"02/02/2023 11:45:18";"";""
44959489791,1343;2;6;1;15;;;;;;;;;"02/02/2023 11:45:18";"";""
44959489791,1343;2;6;1;18;;;;;;;;;"02/02/2023 11:45:18";"";""
"$RT_COUNT$";56;;;;;;;;;;;;;;;
