"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45521068951,9907;2;1;1;5;;;;;;;;;"17/08/2024 01:39:17";"";""
45521068985,1273;2;3;1;5;;;;;;;;;"17/08/2024 01:39:20";"";""
45521069032,9514;2;1;2;1;;;;;;;;;"17/08/2024 01:39:24";"";""
45521069032,9514;2;1;2;2;;;;;;;;;"17/08/2024 01:39:24";"";""
45521069032,9514;2;1;1;25;;;;;;;;;"17/08/2024 01:39:24";"";""
45521069032,9514;2;2;1;5;;;;;;;;;"17/08/2024 01:39:24";"";""
45521069040,0347;2;3;1;25;;;;;;;;;"17/08/2024 01:39:25";"";""
45521069044,5023;2;0;2;1;;;;;;;;;"17/08/2024 01:39:25";"";""
45521069044,5023;2;0;2;2;;;;;;;;;"17/08/2024 01:39:25";"";""
45521069044,5023;2;2;1;25;;;;;;;;;"17/08/2024 01:39:25";"";""
45522057561,7708;2;1;1;5;;;;;;;;;"18/08/2024 01:22:53";"";""
45522057642,7662;2;1;2;1;;;;;;;;;"18/08/2024 01:23:00";"";""
45522057642,7662;2;1;2;2;;;;;;;;;"18/08/2024 01:23:00";"";""
45522057642,7662;2;1;1;25;;;;;;;;;"18/08/2024 01:23:00";"";""
45522057642,7662;2;0;1;5;;;;;;;;;"18/08/2024 01:23:00";"";""
45522057654,3403;2;0;2;1;;;;;;;;;"18/08/2024 01:23:01";"";""
45522057654,3403;2;0;2;2;;;;;;;;;"18/08/2024 01:23:01";"";""
45522057654,3403;2;0;1;25;;;;;;;;;"18/08/2024 01:23:01";"";""
45522715732,4074;2;6;1;5;;;;;;;;;"18/08/2024 17:10:39";"";""
45522715732,4074;2;6;1;25;;;;;;;;;"18/08/2024 17:10:39";"";""
45523042677,3495;2;1;1;5;;;;;;;;;"19/08/2024 01:01:27";"";""
45523042758,3912;2;1;2;1;;;;;;;;;"19/08/2024 01:01:34";"";""
45523042758,3912;2;1;2;2;;;;;;;;;"19/08/2024 01:01:34";"";""
45523042758,3912;2;1;1;25;;;;;;;;;"19/08/2024 01:01:34";"";""
45523042758,3912;2;0;1;5;;;;;;;;;"19/08/2024 01:01:34";"";""
45523042769,9421;2;0;2;1;;;;;;;;;"19/08/2024 01:01:35";"";""
45523042769,9421;2;0;2;2;;;;;;;;;"19/08/2024 01:01:35";"";""
45523042769,9421;2;0;1;25;;;;;;;;;"19/08/2024 01:01:35";"";""
45523815978,3565;2;6;1;5;;;;;;;;;"19/08/2024 19:35:01";"";""
45523815978,3565;2;6;1;25;;;;;;;;;"19/08/2024 19:35:01";"";""
45523815983,5648;2;1;1;25;;;;;;;;;"19/08/2024 19:35:01";"";""
45523815995,1505;2;0;1;25;;;;;;;;;"19/08/2024 19:35:02";"";""
"$RT_COUNT$";33;;;;;;;;;;;;;;;
