"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45524299531,5625;2;1;1;5;;;;;;;;;"20/08/2024 07:11:20";"";""
45524299612,6157;2;1;2;1;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;1;2;2;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;1;1;25;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299612,6157;2;0;1;5;;;;;;;;;"20/08/2024 07:11:27";"";""
45524299624,132;2;0;2;1;;;;;;;;;"20/08/2024 07:11:28";"";""
45524299624,132;2;0;2;2;;;;;;;;;"20/08/2024 07:11:28";"";""
45524299624,132;2;0;1;25;;;;;;;;;"20/08/2024 07:11:28";"";""
45525064758,6574;2;6;1;5;;;;;;;;;"21/08/2024 01:33:15";"";""
45525064758,6574;2;6;1;25;;;;;;;;;"21/08/2024 01:33:15";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
