"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45463114756,0301;2;1;1;5;;;;;;;;;"20/06/2024 02:45:15";"";""
45463114837,0718;2;1;2;1;;;;;;;;;"20/06/2024 02:45:22";"";""
45463114837,0718;2;1;2;2;;;;;;;;;"20/06/2024 02:45:22";"";""
45463114837,0718;2;1;1;25;;;;;;;;;"20/06/2024 02:45:22";"";""
45463114837,0718;2;0;1;5;;;;;;;;;"20/06/2024 02:45:22";"";""
45463114848,6343;2;0;2;1;;;;;;;;;"20/06/2024 02:45:23";"";""
45463114848,6343;2;0;2;2;;;;;;;;;"20/06/2024 02:45:23";"";""
45463114848,6343;2;0;1;25;;;;;;;;;"20/06/2024 02:45:23";"";""
45463114868,9699;2;6;1;5;;;;;;;;;"20/06/2024 02:45:25";"";""
45463114868,9699;2;6;1;25;;;;;;;;;"20/06/2024 02:45:25";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
