"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45464282537,5926;2;1;1;5;;;;;;;;;"21/06/2024 06:46:51";"";""
45464282618,6227;2;1;2;1;;;;;;;;;"21/06/2024 06:46:58";"";""
45464282618,6227;2;1;2;2;;;;;;;;;"21/06/2024 06:46:58";"";""
45464282618,6227;2;1;1;25;;;;;;;;;"21/06/2024 06:46:58";"";""
45464282618,6227;2;0;1;5;;;;;;;;;"21/06/2024 06:46:58";"";""
45464282630,2199;2;0;2;1;;;;;;;;;"21/06/2024 06:46:59";"";""
45464282630,2199;2;0;2;2;;;;;;;;;"21/06/2024 06:46:59";"";""
45464282630,2199;2;0;1;25;;;;;;;;;"21/06/2024 06:46:59";"";""
45465095320,2894;2;6;1;5;;;;;;;;;"22/06/2024 02:17:16";"";""
45465095320,2894;2;6;1;25;;;;;;;;;"22/06/2024 02:17:16";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
