"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45508272265,5556;2;1;1;5;;;;;;;;;"04/08/2024 06:32:04";"";""
45508272346,6319;2;1;2;1;;;;;;;;;"04/08/2024 06:32:11";"";""
45508272346,6319;2;1;2;2;;;;;;;;;"04/08/2024 06:32:11";"";""
45508272346,6319;2;1;1;25;;;;;;;;;"04/08/2024 06:32:11";"";""
45508272346,6435;2;0;1;5;;;;;;;;;"04/08/2024 06:32:11";"";""
45508272358,1366;2;0;2;1;;;;;;;;;"04/08/2024 06:32:12";"";""
45508272358,1366;2;0;2;2;;;;;;;;;"04/08/2024 06:32:12";"";""
45508272358,1366;2;0;1;25;;;;;;;;;"04/08/2024 06:32:12";"";""
45509012588,9699;2;6;1;5;;;;;;;;;"05/08/2024 00:18:08";"";""
45509012588,9699;2;6;1;25;;;;;;;;;"05/08/2024 00:18:08";"";""
45509012598,9352;2;1;1;25;;;;;;;;;"05/08/2024 00:18:09";"";""
45509012610,4977;2;0;1;25;;;;;;;;;"05/08/2024 00:18:10";"";""
"$RT_COUNT$";13;;;;;;;;;;;;;;;
