"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44966599054,0278;2;1;1;5;;;;;;;;;"09/02/2023 14:22:38";"";""
44966599135,0463;2;1;2;1;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;1;2;2;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;1;1;25;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599135,0463;2;0;1;5;;;;;;;;;"09/02/2023 14:22:45";"";""
44966599146,6319;2;0;2;1;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599146,6319;2;0;2;2;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599146,6319;2;0;1;25;;;;;;;;;"09/02/2023 14:22:46";"";""
44966599236,1921;2;6;1;5;;;;;;;;;"09/02/2023 14:22:54";"";""
44966599236,1921;2;6;1;25;;;;;;;;;"09/02/2023 14:22:54";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
