"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44964348959,6412;2;1;1;5;;;;;;;;;"07/02/2023 08:22:30";"";""
44964348978,8657;2;3;1;5;;;;;;;;;"07/02/2023 08:22:32";"";""
44964349040,6597;2;1;2;1;;;;;;;;;"07/02/2023 08:22:37";"";""
44964349040,6597;2;1;2;2;;;;;;;;;"07/02/2023 08:22:37";"";""
44964349040,6597;2;1;1;25;;;;;;;;;"07/02/2023 08:22:37";"";""
44964349040,6597;2;2;1;5;;;;;;;;;"07/02/2023 08:22:37";"";""
44964349043,2292;2;3;1;25;;;;;;;;;"07/02/2023 08:22:37";"";""
44964349052,2338;2;0;2;1;;;;;;;;;"07/02/2023 08:22:38";"";""
44964349052,2338;2;0;2;2;;;;;;;;;"07/02/2023 08:22:38";"";""
44964349052,2454;2;2;1;25;;;;;;;;;"07/02/2023 08:22:38";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
