"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45542849033,6111;2;1;1;5;;;;;;;;;"07/09/2024 20:22:37";"";""
45542849114,6181;2;1;2;1;;;;;;;;;"07/09/2024 20:22:44";"";""
45542849114,6181;2;1;2;2;;;;;;;;;"07/09/2024 20:22:44";"";""
45542849114,6181;2;1;1;25;;;;;;;;;"07/09/2024 20:22:44";"";""
45542849114,6181;2;0;1;5;;;;;;;;;"07/09/2024 20:22:44";"";""
45542849126,1806;2;0;2;1;;;;;;;;;"07/09/2024 20:22:45";"";""
45542849126,1806;2;0;2;2;;;;;;;;;"07/09/2024 20:22:45";"";""
45542849126,1806;2;0;1;25;;;;;;;;;"07/09/2024 20:22:45";"";""
45543630600,8449;2;6;1;5;;;;;;;;;"08/09/2024 15:08:04";"";""
45543630600,8449;2;6;1;25;;;;;;;;;"08/09/2024 15:08:04";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
