"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45489046692,4884;2;1;1;5;;;;;;;;;"16/07/2024 01:07:14";"";""
45489046773,4722;2;1;2;1;;;;;;;;;"16/07/2024 01:07:21";"";""
45489046773,4722;2;1;2;2;;;;;;;;;"16/07/2024 01:07:21";"";""
45489046773,4838;2;1;1;25;;;;;;;;;"16/07/2024 01:07:21";"";""
45489046773,4838;2;0;1;5;;;;;;;;;"16/07/2024 01:07:21";"";""
45489046778,3912;2;6;1;5;;;;;;;;;"16/07/2024 01:07:22";"";""
45489046778,3912;2;3;1;25;;;;;;;;;"16/07/2024 01:07:22";"";""
45489046785,0579;2;0;2;1;;;;;;;;;"16/07/2024 01:07:22";"";""
45489046785,0579;2;0;2;2;;;;;;;;;"16/07/2024 01:07:22";"";""
45489046785,0579;2;2;1;25;;;;;;;;;"16/07/2024 01:07:22";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
