"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45495275889,0741;2;1;1;5;;;;;;;;;"22/07/2024 06:37:17";"";""
45495275910,625;2;3;1;5;;;;;;;;;"22/07/2024 06:37:19";"";""
45495275970,1042;2;1;2;1;;;;;;;;;"22/07/2024 06:37:24";"";""
45495275970,1042;2;1;2;2;;;;;;;;;"22/07/2024 06:37:24";"";""
45495275970,1042;2;1;1;25;;;;;;;;;"22/07/2024 06:37:24";"";""
45495275970,1042;2;2;1;5;;;;;;;;;"22/07/2024 06:37:24";"";""
45495275981,6551;2;0;2;1;;;;;;;;;"22/07/2024 06:37:25";"";""
45495275981,6551;2;0;2;2;;;;;;;;;"22/07/2024 06:37:25";"";""
45495275981,6551;2;0;1;25;;;;;;;;;"22/07/2024 06:37:25";"";""
45496035185,7292;2;6;1;25;;;;;;;;;"23/07/2024 00:50:40";"";""
45496280726,5972;2;1;1;5;;;;;;;;;"23/07/2024 06:44:15";"";""
45496280744,0625;2;3;1;5;;;;;;;;;"23/07/2024 06:44:16";"";""
45496280807,6157;2;1;2;1;;;;;;;;;"23/07/2024 06:44:22";"";""
45496280807,6157;2;1;2;2;;;;;;;;;"23/07/2024 06:44:22";"";""
45496280807,6157;2;1;1;25;;;;;;;;;"23/07/2024 06:44:22";"";""
45496280807,6157;2;2;1;5;;;;;;;;;"23/07/2024 06:44:22";"";""
45496280816,9329;2;3;1;25;;;;;;;;;"23/07/2024 06:44:23";"";""
45496280819,1782;2;0;2;1;;;;;;;;;"23/07/2024 06:44:23";"";""
45496280819,1782;2;0;2;2;;;;;;;;;"23/07/2024 06:44:23";"";""
45496280819,1782;2;2;1;25;;;;;;;;;"23/07/2024 06:44:23";"";""
45497293851,2847;2;1;1;5;;;;;;;;;"24/07/2024 07:03:09";"";""
45497293872,1181;2;3;1;5;;;;;;;;;"24/07/2024 07:03:11";"";""
45497293932,2801;2;1;2;1;;;;;;;;;"24/07/2024 07:03:16";"";""
45497293932,2801;2;1;2;2;;;;;;;;;"24/07/2024 07:03:16";"";""
45497293932,2801;2;1;1;25;;;;;;;;;"24/07/2024 07:03:16";"";""
45497293932,2801;2;2;1;5;;;;;;;;;"24/07/2024 07:03:16";"";""
45497293943,8542;2;0;2;1;;;;;;;;;"24/07/2024 07:03:17";"";""
45497293943,8542;2;0;2;2;;;;;;;;;"24/07/2024 07:03:17";"";""
45497293943,8542;2;0;1;25;;;;;;;;;"24/07/2024 07:03:17";"";""
45498100156,4005;2;1;1;5;;;;;;;;;"25/07/2024 02:24:14";"";""
45498100237,4074;2;1;2;1;;;;;;;;;"25/07/2024 02:24:21";"";""
45498100237,4074;2;1;2;2;;;;;;;;;"25/07/2024 02:24:21";"";""
45498100237,4074;2;1;1;25;;;;;;;;;"25/07/2024 02:24:21";"";""
45498100237,4074;2;0;1;5;;;;;;;;;"25/07/2024 02:24:21";"";""
45498100248,9931;2;0;2;1;;;;;;;;;"25/07/2024 02:24:22";"";""
45498100248,9931;2;0;2;2;;;;;;;;;"25/07/2024 02:24:22";"";""
45498100248,9931;2;0;1;25;;;;;;;;;"25/07/2024 02:24:22";"";""
45498101352,8472;2;6;1;5;;;;;;;;;"25/07/2024 02:25:57";"";""
45498101352,8472;2;6;1;25;;;;;;;;;"25/07/2024 02:25:57";"";""
"$RT_COUNT$";40;;;;;;;;;;;;;;;
