"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45460666315,7755;2;1;1;5;;;;;;;;;"17/06/2024 15:59:30";"";""
45460666338,9352;2;1;2;1;;;;;;;;;"17/06/2024 15:59:32";"";""
45460666338,9352;2;1;2;2;;;;;;;;;"17/06/2024 15:59:32";"";""
45460666338,9352;2;1;1;25;;;;;;;;;"17/06/2024 15:59:32";"";""
45460666338,9352;2;0;1;5;;;;;;;;;"17/06/2024 15:59:32";"";""
45460666350,5208;2;0;2;1;;;;;;;;;"17/06/2024 15:59:33";"";""
45460666350,5208;2;0;2;2;;;;;;;;;"17/06/2024 15:59:33";"";""
45460666350,5208;2;0;1;25;;;;;;;;;"17/06/2024 15:59:33";"";""
45461465315,1273;2;6;1;5;;;;;;;;;"18/06/2024 11:10:03";"";""
45461465315,1273;2;6;1;25;;;;;;;;;"18/06/2024 11:10:03";"";""
"$RT_COUNT$";11;;;;;;;;;;;;;;;
