"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45526591835,0116;2;1;1;5;;;;;;;;;"22/08/2024 14:12:15";"";""
45526591850,9491;2;3;1;5;;;;;;;;;"22/08/2024 14:12:16";"";""
45526591916,0301;2;1;2;1;;;;;;;;;"22/08/2024 14:12:22";"";""
45526591916,0301;2;1;2;2;;;;;;;;;"22/08/2024 14:12:22";"";""
45526591916,0301;2;1;1;25;;;;;;;;;"22/08/2024 14:12:22";"";""
45526591916,0301;2;2;1;5;;;;;;;;;"22/08/2024 14:12:22";"";""
45526591927,6273;2;0;2;1;;;;;;;;;"22/08/2024 14:12:23";"";""
45526591927,6273;2;0;2;2;;;;;;;;;"22/08/2024 14:12:23";"";""
45526591927,6273;2;0;1;25;;;;;;;;;"22/08/2024 14:12:23";"";""
45527385301,1111;2;1;1;25;;;;;;;;;"23/08/2024 09:14:50";"";""
45527385312,6505;2;0;1;25;;;;;;;;;"23/08/2024 09:14:51";"";""
"$RT_COUNT$";12;;;;;;;;;;;;;;;
